workload	mode	repeat	completed	elapsed_s	ops_s	p50_ms	p95_ms	p99_ms	heap_peak_bytes	heap_before_bytes	heap_after_bytes	platform_peak	platform_before	gc_count	gc_ms	cleanup_p95_ms	cleanup_max_ms	active_calls_after	leased_connections_after
consumer	async	0	5584	15.264	365.84	249.50	532.20	720.30	169985632	10602080	10604192	58	57	1	1	6.27	6.32	0	0
consumer	direct	0	5648	15.278	369.69	209.80	586.20	855.00	169903808	10520256	10726232	58	57	1	1	5.11	5.17	0	0
consumer	enqueue	0	5519	15.262	361.61	149.80	1034.80	1842.40	139924096	10949248	11109464	140	138	0	0	5.45	5.57	0	0
consumer	direct	1	5655	15.258	370.64	220.20	565.90	783.70	169961368	10577816	10704712	58	57	1	1	4.88	4.96	0	0
consumer	enqueue	1	5500	15.260	360.42	150.40	1023.70	1749.90	136726272	10897152	11055704	139	138	0	0	5.32	5.37	0	0
consumer	async	1	5724	15.273	374.78	189.60	589.70	782.20	170008232	10624680	10707104	58	57	1	1	4.46	4.53	0	0
consumer	enqueue	2	5518	15.262	361.55	164.60	990.30	1598.20	140856008	10832584	11148320	139	138	0	0	5.85	5.97	0	0
consumer	async	2	5685	15.257	372.63	200.80	574.50	813.00	169976752	10593200	10666824	58	57	1	0	6.42	6.52	0	0
consumer	direct	2	5680	15.259	372.23	186.20	609.50	893.00	170086000	10702448	10615232	58	57	1	1	4.58	4.67	0	0
