workload	mode	repeat	completed	elapsed_s	ops_s	p50_ms	p95_ms	p99_ms	heap_peak_bytes	heap_before_bytes	heap_after_bytes	platform_peak	platform_before	gc_count	gc_ms	cleanup_p95_ms	cleanup_max_ms	active_calls_after	leased_connections_after
small	async	0	379277	5.001	75836.63	0.60	3.20	4.00	168543896	10747816	10805616	58	57	64	30	5.22	5.27	0	0
small	direct	0	359750	5.001	71936.05	0.70	3.20	4.20	168632872	10771584	10681600	58	57	59	26	4.24	4.28	0	0
small	enqueue	0	250205	5.001	50027.57	1.70	4.10	6.40	169589960	11177208	11151656	141	139	32	33	4.24	4.34	0	0
slow	async	0	1568	5.229	299.87	214.00	951.50	1814.90	52428696	10485656	10651976	58	57	1	5	6.60	6.69	0	0
slow	direct	0	1568	5.275	297.28	215.80	748.60	1624.40	51436096	10541632	10661656	58	57	1	1	4.57	4.69	0	0
slow	enqueue	0	1568	5.225	300.11	107.50	1389.10	2361.80	48656640	10907904	11033488	139	138	0	0	5.34	5.45	0	0
pods	async	0	353329	5.001	70650.21	0.70	3.30	4.30	168710584	10840448	10919840	58	57	64	32	3.05	3.12	0	0
pods	direct	0	389516	5.001	77886.61	0.60	3.10	3.80	168554528	10834456	10893064	58	57	69	31	3.78	3.88	0	0
pods	enqueue	0	291330	5.001	58252.93	1.70	3.40	4.30	169596056	11261080	11329624	142	141	40	25	4.42	4.60	0	0
large	async	0	5807	5.072	1144.86	65.40	207.50	370.50	170026072	10642520	10841464	58	57	1	1	4.19	4.29	0	0
large	direct	0	5777	5.073	1138.74	61.50	224.90	410.50	170130744	10747192	10809992	58	57	1	1	3.36	3.43	0	0
large	enqueue	0	5867	5.063	1158.88	65.00	194.40	354.10	162081848	11086904	11072976	138	137	0	0	4.10	4.24	0	0
consumer	async	0	2144	5.208	411.65	157.20	618.10	843.20	104816832	10444992	10628416	58	57	0	0	2.84	2.90	0	0
consumer	direct	0	2176	5.241	415.16	157.40	603.90	765.10	102758456	10483768	10663520	58	57	0	0	4.15	4.22	0	0
consumer	enqueue	0	2109	5.231	403.19	159.30	620.10	882.60	51784136	10889672	11166096	138	137	1	0	3.77	3.88	0	0
small	direct	1	377081	5.001	75400.85	0.60	3.20	4.00	169604840	10694856	10746616	58	57	62	28	4.25	4.36	0	0
small	enqueue	1	296514	5.001	59286.16	1.70	3.30	4.20	168728664	11135976	11162648	142	139	38	26	4.23	4.33	0	0
small	async	1	384101	5.001	76800.03	0.60	3.20	3.90	167562216	10752616	10819528	58	57	66	30	4.11	4.19	0	0
slow	direct	1	1568	5.259	298.16	213.80	1073.00	1296.50	53559192	10567576	10700880	58	57	1	2	3.46	3.54	0	0
