workload	mode	repeat	completed	elapsed_s	ops_s	p50_ms	p95_ms	p99_ms	heap_peak_bytes	heap_before_bytes	heap_after_bytes	platform_peak	platform_before	gc_count	gc_ms	cleanup_p95_ms	cleanup_max_ms	active_calls_after	leased_connections_after
slow	enqueue	1	1568	5.276	297.18	109.10	1295.00	2475.40	48707400	10958664	11142848	139	138	0	0	4.91	5.06	0	0
slow	async	1	1568	5.237	299.39	215.10	841.40	1592.10	53533504	10541888	10660368	58	57	1	2	4.50	4.57	0	0
pods	direct	1	368576	5.001	73698.99	0.60	3.30	4.10	168711712	10848448	10827504	58	57	64	29	3.87	3.93	0	0
pods	enqueue	1	272488	5.002	54480.28	1.80	3.60	4.60	168763784	11188680	11266344	141	140	38	23	2.81	2.87	0	0
pods	async	1	379106	5.001	75805.27	0.60	3.10	3.90	169627144	10814520	10763128	58	57	68	32	3.21	3.26	0	0
large	direct	1	5977	5.064	1180.38	65.80	185.50	307.50	170089312	10705760	10750864	58	57	1	1	3.80	3.89	0	0
large	enqueue	1	6270	5.059	1239.36	61.90	170.20	346.60	167333040	11095216	11153416	138	137	0	0	3.81	3.90	0	0
large	async	1	5823	5.071	1148.36	63.90	209.30	327.10	169094384	10759408	10802384	58	57	1	1	4.14	4.20	0	0
consumer	direct	1	2196	5.235	419.49	157.70	540.00	799.60	104927264	10555424	10706816	58	57	0	0	5.07	5.14	0	0
consumer	enqueue	1	2081	5.235	397.50	158.90	802.10	1136.80	51641624	10747160	11127256	139	137	1	1	5.48	5.63	0	0
consumer	async	1	2175	5.235	415.45	156.10	660.30	981.50	104901464	10529624	10719184	58	57	0	0	4.33	4.41	0	0
small	enqueue	2	294896	5.001	58965.80	1.70	3.40	4.30	168667080	11074136	11237568	141	139	37	23	3.95	4.05	0	0
small	async	2	351795	5.001	70344.88	0.70	3.30	4.20	169643312	10773320	10748616	58	57	60	28	3.19	3.23	0	0
small	direct	2	356085	5.001	71201.59	0.60	3.40	4.40	168391928	10726536	10786816	58	57	58	25	3.10	3.19	0	0
slow	enqueue	2	1600	5.291	302.39	106.40	1343.80	2859.20	48600296	10851560	11038992	139	138	0	0	2.82	2.89	0	0
slow	async	2	1600	5.240	305.37	210.30	734.10	1150.80	52508240	10565200	10683264	58	57	1	1	3.74	3.80	0	0
slow	direct	2	1597	5.313	300.57	212.40	959.90	1406.20	50453440	10607552	10709736	58	57	1	0	4.56	4.65	0	0
pods	enqueue	2	206932	5.002	41372.79	1.80	3.70	5.50	169445216	11174288	11319336	148	147	29	19	4.62	4.68	0	0
pods	async	2	203700	5.002	40725.42	1.40	7.10	12.50	168584808	10764696	10842608	58	57	36	21	3.29	3.35	0	0
pods	direct	2	92545	5.005	18489.62	4.40	11.80	19.30	169270776	10964624	10918208	58	57	15	15	6.09	7.92	0	0
large	enqueue	2	5055	5.092	992.73	72.80	236.10	431.40	137951320	11073624	11165064	138	137	0	0	3.91	3.98	0	0
large	async	2	5240	5.087	1030.06	67.20	256.50	429.40	169081864	10746888	10840688	58	57	1	1	3.15	3.20	0	0
large	direct	2	5122	5.096	1005.14	69.00	240.00	437.50	170163192	10779640	10867808	47	46	1	2	2.82	3.24	0	0
consumer	enqueue	2	2042	5.229	390.49	160.30	731.60	1134.70	51723336	10828872	11200680	139	137	1	1	2.71	2.87	0	0
consumer	async	2	2079	5.236	397.03	159.90	729.20	1068.50	100600536	10423000	10800688	47	46	0	0	3.88	3.92	0	0
consumer	direct	2	2112	5.230	403.83	159.40	623.90	928.40	100729232	10551696	10690840	58	57	0	0	3.51	3.61	0	0
