workload	mode	repeat	completed	elapsed_s	ops_s	p50_ms	p95_ms	p99_ms	heap_peak_bytes	heap_before_bytes	heap_after_bytes	platform_peak	platform_before	gc_count	gc_ms	cleanup_p95_ms	cleanup_max_ms	active_calls_after	leased_connections_after
slow	async	0	4544	15.259	297.79	316.80	653.70	873.70	169903960	10520408	10655728	58	57	0	0	6.46	6.50	0	0
slow	direct	0	4544	15.293	297.14	223.60	647.90	968.10	164671032	10530360	10691248	58	57	0	0	6.54	6.62	0	0
slow	enqueue	0	4544	15.293	297.13	109.30	1495.40	2906.30	118921424	10918096	11111480	139	137	0	0	6.19	6.34	0	0
slow	direct	1	4544	15.214	298.67	219.60	740.60	867.20	163706472	10614376	10695392	58	57	0	0	6.16	6.25	0	0
slow	enqueue	1	4544	15.245	298.07	108.10	1599.40	3240.00	117857368	10902616	11003704	138	137	0	0	6.45	6.63	0	0
slow	async	1	4544	15.243	298.11	224.90	653.90	866.20	168879400	10544424	10695352	58	57	0	0	7.10	7.18	0	0
slow	enqueue	2	4544	15.257	297.84	108.40	1609.70	3546.70	119033952	11030624	11031528	139	137	0	0	5.53	5.69	0	0
slow	async	2	4544	15.297	297.06	221.40	752.30	1065.00	168871592	10536616	10662592	58	57	0	0	5.08	5.17	0	0
slow	direct	2	4544	15.268	297.61	315.90	648.40	862.60	164700120	10559448	10667992	58	57	0	0	6.26	6.41	0	0
